nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,nr_itens_avaliados,nr_itens_nao_respondidos,nr_submissoes_codigo,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
20.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5714,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3.3333333333333335,0.0,0
42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,42.0,0.0,1
381.0,269.0,5.0,14.0,3.0,2.0,26.0,283.0,55.0,7.2289,8.0,32.0,25.0,951.0,345.0,276.0,8.0,0.0,34.0,125.0,0.0,0,0.8,0.05454545454545454,1.3462897526501767,0.0,1
35.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,48.0,0.0,1.0,0.0,35.0,61.0,52.0,5.0,1.0,1.0,62.0,0.0,1,0.8524590163934426,0.0,35.0,0.0,0
6.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,31.0,1.0,1.0,2.0,92.0,52.0,30.0,17.0,0.0,2.0,61.0,0.0,0,0.5769230769230769,0.0,1.5,0.0,0
13.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,57.0,0.0,1.0,0.0,46.0,59.0,51.0,4.0,1.0,1.0,62.0,0.0,0,0.864406779661017,0.0,13.0,0.0,0
360.0,265.0,0.0,1.0,3.0,0.0,6.0,342.0,48.0,11.9213,9.0,16.0,27.0,150.0,18.0,6.0,0.0,0.0,1.0,48.0,0.0,0,0.3333333333333333,0.0625,1.0526315789473684,0.0,1
15.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,6.0,15.3158,4.0,2.0,22.0,43.0,60.0,47.0,9.0,1.0,13.0,50.0,0.0,0,0.7833333333333333,0.0,0.8333333333333334,0.0,0
12.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,9.0769,1.0,2.0,11.0,49.0,58.0,40.0,16.0,0.0,2.0,61.0,0.0,0,0.6896551724137931,0.0,1.0,0.0,0
7.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,111.0,0.0,1.0,0.0,52.0,20.0,19.0,1.0,0.0,8.0,15.0,0.0,0,0.95,0.0,7.0,0.0,0
47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,42.0,0.0,1
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0
15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,15.0,0.0,0
27.0,11.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,2.3571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,1.0,2.0,0
18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,18.0,0.0,0
328.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,328.0,0.0,0
13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,0.0,0
255.0,20.0,0.0,0.0,0.0,0.0,5.0,235.0,4.0,0.9873,0.0,3.0,0.0,175.0,109.0,94.0,8.0,5.0,3.0,63.0,0.0,0,0.8623853211009175,0.0,1.0851063829787233,0.0,0
6.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,31.0,1.0,1.0,2.0,92.0,52.0,30.0,17.0,0.0,2.0,61.0,0.0,0,0.5769230769230769,0.0,1.5,0.0,0
41.0,17.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.7083333333333333,0.0,0
381.0,269.0,5.0,14.0,3.0,2.0,26.0,283.0,55.0,7.2289,8.0,32.0,25.0,951.0,345.0,276.0,8.0,0.0,34.0,125.0,0.0,0,0.8,0.05454545454545454,1.3462897526501767,0.0,1
15.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,6.0,15.3158,4.0,2.0,22.0,43.0,60.0,47.0,9.0,1.0,13.0,50.0,0.0,0,0.7833333333333333,0.0,0.8333333333333334,0.0,0
24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,24.0,0.0,0
47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,47.0,0.0,1
312.0,0.0,1.0,48.0,39.0,0.0,7.0,312.0,181.0,110.885,58.0,88.0,619.0,1944.0,18.0,13.0,1.0,1.0,4.0,716.0,7.0,0,0.7222222222222222,0.2154696132596685,1.0,0.03867403314917127,0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
20.0,3.0,0.0,0.0,0.0,0.0,2.0,17.0,9.0,10.5556,2.0,1.0,9.0,55.0,60.0,47.0,9.0,1.0,6.0,57.0,0.0,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
48.0,1.0,0.0,0.0,0.0,0.0,2.0,47.0,29.0,16.0,6.0,7.0,26.0,112.0,58.0,52.0,2.0,1.0,16.0,47.0,0.0,0,0.896551724137931,0.0,1.0212765957446808,0.0,0
56.0,6.0,0.0,0.0,0.0,0.0,4.0,50.0,26.0,21.4706,6.0,10.0,28.0,179.0,62.0,51.0,8.0,1.0,21.0,42.0,47.0,0,0.8225806451612904,0.0,1.12,1.8076923076923077,0
360.0,265.0,0.0,1.0,3.0,0.0,6.0,342.0,48.0,11.9213,9.0,16.0,27.0,150.0,18.0,6.0,0.0,0.0,1.0,48.0,0.0,0,0.3333333333333333,0.0625,1.0526315789473684,0.0,1
40.0,13.0,0.0,0.0,0.0,0.0,2.0,27.0,4.0,3.0357,0.0,1.0,0.0,32.0,58.0,51.0,3.0,1.0,4.0,59.0,0.0,0,0.8793103448275862,0.0,1.4814814814814814,0.0,0
186.0,7.0,0.0,0.0,3.0,0.0,17.0,179.0,44.0,12.4889,20.0,21.0,123.0,384.0,115.0,89.0,17.0,2.0,28.0,58.0,0.0,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
20.0,14.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,38.8571,4.0,4.0,19.0,112.0,60.0,53.0,6.0,0.0,11.0,52.0,0.0,0,0.8833333333333333,0.0,3.3333333333333335,0.0,0
20.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.5714,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3.3333333333333335,0.0,0
35.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,48.0,0.0,1.0,0.0,35.0,61.0,52.0,5.0,1.0,1.0,62.0,0.0,1,0.8524590163934426,0.0,35.0,0.0,0
13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,0.0,0
20.0,3.0,0.0,0.0,0.0,0.0,2.0,17.0,9.0,10.5556,2.0,1.0,9.0,55.0,60.0,47.0,9.0,1.0,6.0,57.0,0.0,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
12.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,9.0769,1.0,2.0,11.0,49.0,58.0,40.0,16.0,0.0,2.0,61.0,0.0,0,0.6896551724137931,0.0,1.0,0.0,0
44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44.0,0.0,1
7.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,28.6667,1.0,1.0,1.0,55.0,57.0,44.0,9.0,1.0,2.0,61.0,0.0,0,0.7719298245614035,0.0,3.5,0.0,0
179.0,17.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,0.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.1049382716049383,0.0,0
12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0
186.0,7.0,0.0,0.0,3.0,0.0,17.0,179.0,44.0,12.4889,20.0,21.0,123.0,384.0,115.0,89.0,17.0,2.0,28.0,58.0,0.0,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,39.0,0.0,0
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,0.0,0
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,0.0,0
13.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,57.0,0.0,1.0,0.0,46.0,59.0,51.0,4.0,1.0,1.0,62.0,0.0,0,0.864406779661017,0.0,13.0,0.0,0
179.0,17.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,0.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.1049382716049383,0.0,0
12.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,9.0769,1.0,2.0,11.0,49.0,58.0,40.0,16.0,0.0,2.0,61.0,0.0,0,0.6896551724137931,0.0,1.0,0.0,0
7.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,28.6667,1.0,1.0,1.0,55.0,57.0,44.0,9.0,1.0,2.0,61.0,0.0,0,0.7719298245614035,0.0,3.5,0.0,0
