nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos,nr_abandono,vl_taxa_acerto_questoes,vl_forum_por_dia,vl_dias_entre_acessos,vl_submissoes_por_dia,nr_periodo_ferias
23,8,0,0,0,0,2,798.5,798.5,42.683657519200004,15.0,2,5.9375,32.60928,117.34479999999999,1,2,1,44,59,50,5,1,0.964285714,1.5358000000000003,0.40590000000000004,3,60,0.958333333,0,6.7143,10.26668,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
12,12,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,12.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,12.0,0.0,0
186,7,0,0,3,0,17,15294.0588,170.0,71.66666667,179.0,44,12.4889,24.4444,51.0909,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.922023821,0,6.7143,13.933359999999999,0,0.7739130434782608,0.06818181818181818,1.0391061452513966,0.0,0
12,12,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,0.0,1,3.0,29.834703448275864,56.718513793103455,0,0,0,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,0,0.0,0.0,12.0,0.0,0
20,3,0,0,0,0,2,2713.5,2713.5,90.468468468,17.0,9,10.5556,52.86766,38.98888,2,1,9,55,60,47,9,1,1.0,0.4615,0.1538,6,57,1.0,0,6.7143,13.73336,0,0.7833333333333333,0.0,1.1764705882352942,0.0,0
7,5,0,0,0,0,2,2173.0,2173.0,90.468468468,2.0,2,28.6667,52.86766,38.98888,1,1,1,55,57,44,9,1,1.0,1.0,1.0,2,61,1.0,0,6.7143,13.73336,0,0.7719298245614035,0.0,3.5,0.0,0
20,14,0,0,0,0,0,30625.595566666663,43281.98278878504,71.13910049651851,6.0,2,1.5714,29.834703448275864,56.718513793103455,1,0,1,0,0,0,0,0,0.8769873821061946,0.7092868852459016,0.43852786885245904,0,0,0.8750593471946901,0,6.7143,11.08335,1,0.0,0.0,3.3333333333333335,0.0,0
18,18,0,0,0,0,1,18.0,18.0,42.683657519200004,0.0,1,58.0,30.302099999999996,99.68402,0,1,0,34,45,1,0,0,1.0,1.2784,0.2981,1,62,1.0,0,6.7143,10.26668,0,0.022222222222222223,0.0,18.0,0.0,0
7,3,0,0,0,0,2,1579.0,1579.0,90.468468468,4.0,2,20.6,52.86766,38.98888,0,1,0,68,60,49,7,1,1.0,1.7816800000000002,0.7283200000000001,2,61,1.0,0,6.7143,13.73336,0,0.8166666666666667,0.0,1.75,0.0,0
353,353,0,1,0,0,0,53968.10372,317416.635,80.855913872,321.0,2,0.1708,15.53888,55.74244,1,0,2,0,0,0,0,0,0.0,0.23674,0.13866,1,2,0.0,0,6.7143,10.26668,1,0.0,0.0,1.0996884735202492,0.0,0
23,8,0,0,0,0,2,798.5,798.5,42.683657519200004,15.0,2,5.9375,32.60928,117.34479999999999,1,2,1,44,59,50,5,1,0.964285714,1.5358000000000003,0.40590000000000004,3,60,0.958333333,0,6.7143,10.26668,0,0.847457627118644,0.0,1.5333333333333334,0.0,0
11,11,0,0,0,0,1,132.0,132.0,42.6836575192,0.0,1,19.0,32.60928,117.34479999999999,0,1,0,9,0,1,0,0,1.0,1.2784,0.2981,1,62,1.0,0,6.7143,10.26668,0,1.0,0.0,11.0,0.0,0
305,305,0,0,0,0,1,2629.0,2629.0,90.468468468,273.0,4,0.4051,52.86766,38.98888,0,1,0,86,37,14,10,0,0.7674375,0.4615,0.1538,2,43,0.689916667,0,6.7143,13.73336,1,0.3783783783783784,0.0,1.1172161172161172,0.0,0
