nr_dias_desde_primeiro_acesso, nr_dias_desde_ultimo_acesso, nr_atividades_sinalizadas, nr_atividades_mapeadas, nr_discussoes_forum_postadas, nr_questionarios_abandonados, nr_questionarios_finalizados, vl_medio_tempo_questionario, vl_medio_tempo_questionario_avaliado, vl_desempenho_questionario, nr_intervalos_uso, nr_dias_uso, vl_medio_atividade_diaria, vl_engajamento_usuario_por_intervalo, vl_engajamento_usuario_intradia, nr_dias_engajamento_discussao, nr_dias_engajamento_questionario, nr_engajamento_discussao, nr_engajamento_questionario, nr_questoes_respondidas, nr_questoes_corretas, nr_questoes_erradas, nr_questoes_parciais, vl_desempenho_usuario, vl_media_questoes_por_dia, vl_engajamento_notas, nr_itens_avaliados, nr_itens_nao_respondidos, vl_media_notas, nr_submissoes_codigo, vl_media_submissoes_codigo, vl_submissoes_por_dias_ativos, nr_abandono, vl_taxa_acerto_questoes, vl_forum_por_dia   , vl_dias_entre_acessos, vl_submissoes_por_dia, nr_periodo_ferias
                           11,                           3,                         0,                      0,                            0,                            0,                            2,                   1331.0   ,                            1331.0   ,                 0.0       ,               8.0,           4,                   13.2222,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          55,                      60,                   47,                   9,                    1,           1.0        ,                    1.0   ,               0.75  ,                  4,                       59,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.7833333333333333  , 0.0                ,    1.375             ,                   0.0,                 0
                           44,                          44,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                    5.0   ,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           1,    0.0                 , 0.0                ,   44.0               ,                   0.0,                 1
                           41,                          16,                         0,                      0,                            0,                            0,                            2,                 432769.5   ,                          432769.5   ,                 0.0       ,              25.0,           8,                    9.8846,                               0.0   ,                          0.0   ,                             3,                                5,                       10,                         123,                      60,                   46,                  10,                    1,           1.0        ,                    0.6875,               0.3125,                 11,                       52,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.7666666666666667  , 0.0                ,    1.64              ,                   0.0,                 0
                          305,                         305,                         0,                      0,                            0,                            0,                            1,                   2629.0   ,                            2629.0   ,                 0.0       ,             273.0,           4,                    0.4051,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          86,                      37,                   14,                  10,                    0,           0.7674375  ,                    0.0   ,               0.0   ,                  2,                       43,    0.689916667,                    0,                        0.0,                           0.0,           1,    0.3783783783783784  , 0.0                ,    1.1172161172161172,                   0.0,                 0
                           42,                           0,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,              42.0,          13,                    1.907 ,                              30.2326,                          6.3077,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.0                 , 0.0                ,    1.0               ,                   0.0,                 0
                           15,                          13,                         0,                      0,                            0,                            0,                            3,                  32156.0   ,                           32156.0   ,                 0.0       ,               2.0,           3,                   34.0   ,                               0.0   ,                          0.0   ,                             1,                                3,                        1,                          70,                      58,                   51,                   4,                    1,           1.0        ,                    0.0   ,               0.0   ,                  1,                       62,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.8793103448275862  , 0.0                ,    7.5               ,                   0.0,                 0
                           14,                           6,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               8.0,           3,                    1.2222,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.0                 , 0.0                ,    1.75              ,                   0.0,                 0
                          188,                         188,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                   20.0   ,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           1,    0.0                 , 0.0                ,  188.0               ,                   0.0,                 0
                           12,                           5,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               7.0,           2,                    3.25  ,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          14,                       0,                    1,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    1.0                 , 0.0                ,    1.7142857142857142,                   0.0,                 0
                           58,                          18,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,              40.0,           3,                    0.6341,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.0                 , 0.0                ,    1.45              ,                   0.0,                 0
                          305,                         305,                         0,                      0,                            0,                            0,                            1,                   2629.0   ,                            2629.0   ,                 0.0       ,             273.0,           4,                    0.4051,                               0.0   ,                          0.0   ,                             0,                                1,                        0,                          86,                      37,                   14,                  10,                    0,           0.7674375  ,                    0.0   ,               0.0   ,                  2,                       43,    0.689916667,                    0,                        0.0,                           0.0,           1,    0.3783783783783784  , 0.0                ,    1.1172161172161172,                   0.0,                 0
                           24,                          24,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                    6.0   ,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           1,    0.0                 , 0.0                ,   24.0               ,                   0.0,                 0
                           27,                          13,                         0,                      0,                            0,                            0,                            2,                 225979.5   ,                          225979.5   ,                 0.0       ,              14.0,           6,                    7.4667,                               0.0   ,                          0.0   ,                             0,                                3,                        0,                          60,                      59,                   45,                  11,                    1,           1.0        ,                    0.3333,               0.3333,                  2,                       61,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.7627118644067796  , 0.0                ,    1.9285714285714286,                   0.0,                 0
                            6,                           6,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                   31.0   ,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           0,    0.0                 , 0.0                ,    6.0               ,                   0.0,                 0
                           44,                          44,                         0,                      0,                            0,                            0,                            0,                      0.0   ,                               0.0   ,                 0.0       ,               0.0,           1,                    5.0   ,                               0.0   ,                          0.0   ,                             0,                                0,                        0,                           0,                       0,                    0,                   0,                    0,           0.0        ,                    0.0   ,               0.0   ,                  0,                        0,    0.0        ,                    0,                        0.0,                           0.0,           1,    0.0                 , 0.0                ,   44.0               ,                   0.0,                 1
                           12,                           0,                         0,                      0,                            0,                            0,                            2,                 131278.5   ,                          131278.5   ,                 0.0       ,              12.0,           3,                    9.0769,                               0.0   ,                          0.0   ,                             1,                                2,                       11,                          49,                      58,                   40,                  16,                    0,           1.0        ,                    0.6667,               0.6667,                  2,                       61,    1.0        ,                    0,                        0.0,                           0.0,           0,    0.6896551724137931  , 0.0                ,    1.0               ,                   0.0,                 0
